video_id,trending_date,title,channel_title,category_id,views,likes,dislikes,comment_count
rVxymHb8nwI,18.06.06,"सातारा : हनीमूनला जाण्याआधीच कट रचला, पत्नीने प्रियकराच्या मदतीने पतीला संपवलं",ABP Majha,25,1051050,2428,599,644
PAOv61JLsBI,18.24.02,Alexander Graham Bell 2018 | Official Trailer | Latest Telugu Shortfilm | By Nabeel Afridi,Warangal Diaries,23,68133,5310,217,1173
FD0NQMP6_rc,18.09.05,"Muddha Mandaram - Episode 1077 - May 07, 2018 - Best Scene",zeetvtelugu,24,246116,664,100,25
7rOd8ujtqBE,18.11.03,Vijay's Full Speech Official Video | Ananda Vikatan Cinema Awards 2017,Cinema Vikatan,24,298782,11997,356,413
wjnZ5NlZsWI,18.20.01,भिखारी झण्डू की कॉमेडी - NEW Jhandu Comedy || HARYANVI COMEDY || 2018,Cheeta Superfine Music,23,81595,410,81,21
#NAME?,18.26.05,मालिका मसाला- चला हवा येऊ द्या- २३ मे २०१८,ZEE 24 TAAS,25,823115,2725,347,89
gddFMG3GR5g,17.26.11,Tanishtha Performs On Mayya | The Voice India Kids | Episode 5,The Voice India Kids,24,70395,866,29,21
P9x5V2f_yDM,17.09.12,Bigg Boss 11: Salman Khan SLAMS Arshi Khan for DISRESPECTING Shilpa Shinde's Mother ! | FilmiBeat,FilmiBeat,24,100362,912,92,452
ccSbPSJwsCM,18.24.04,"Priyamanaval Episode 996, 23/04/18",VikatanTV,24,488234,3577,768,314
eyIr-cvzrRA,18.25.05,Dhee 10 | 23rd  May 2018 | Full Episode | ETV Telugu,ETV Dhee,24,2820294,17738,2441,2853
fNrogqK82_8,18.07.02,"Kumkum Bhagya - कुमकुम भाग्य - Episode 1033  - February 05, 2018 - Webisode",zeetv,24,539091,1802,369,63
TKvGxz_icuo,17.19.12,Udan Panam l ' Love beyond disabilities' l Mazhavil Manorama,Mazhavil Manorama,24,472492,10934,71,487
9q4WV4SMamM,18.06.04,"Muddha Mandaram - Episode 1050  - April 5, 2018 - Preview",zeetvtelugu,24,312132,703,65,59
Ogti8Y8a1MY,18.10.03,पवन सिंह करेंगे ज्योति सिंह से कल बलिया में शादी | Pawan Singh Marriage | Lehren Bhojpuri,Lehren Bhojpuri,24,1727662,3217,1591,744
EXk7GQB0ico,18.20.04,Kaal Kattu S2-E7 Teaser | Black Pasanga,black pasanga,24,31255,278,41,46
y-PQiShdTKA,18.20.05,Tochan (Full Video) | SIDHU MOOSEWALA | BYG BYRD | SONIA MAAN | Humble Music,Humble Music,10,9508610,168584,6693,14695
Uphs05NJEaY,17.29.11,Ivanka Trump About Hyderabadi Biryani || Global Entrepreneurship Summit 2017 || Narendra Modi || NTV,NTV Telugu,25,96643,0,0,46
x5o9OP9boz0,18.25.05,BwC S5E4 - Shikhar Dhawan,Breakfast With Champions,24,180475,9831,154,1306
XFrthIpqLYg,17.31.12,मेरा चलान काटोगे HARYANVI COMEDY EPISODE भागः4,Superline Music,24,73726,334,72,15
gYlu8bCEOuI,17.31.12,"Jan Gan Man Ki Baat, Episode 172: Should Instant Triple Talaq Be Criminalised?",The Wire,25,120188,5596,490,1263
aiZYzq0MtL0,18.12.05,SIT | HOW MOMS PROTECT US,Shitty Ideas Trending,24,190768,5768,278,248
DviVMnjSfmQ,18.11.02,Bithiri Sathi Making Curry | Deep Fried Curries Is Good For Health | Teenmaar News | V6 News,V6 News Telugu,25,404818,2212,249,215
GubpY7QotGY,17.21.11,"#506 iPhone Dual Sim, Vivo V7, Aadhar OTP to SIM, Padmavati, Note 5, ROG Strix, Op3 8.0, Vivo V7",Sharmaji Technical,28,64344,6370,278,2538
yqoSnfnFT3U,18.10.05,Dice Media | Adulting | Web Series | S01E04 - On My Way,Dice Media,24,1063472,34974,1797,1896
3g6p7UGUvww,18.04.02,Kanchana The Wonder Car (Dora) 2018 New Released Full Hindi Dubbed Movie | Nayanthara,Goldmines Telefilms,1,1113746,21003,1277,1544
yNIEkWQkPu4,17.22.11,Naa Peru Meenakshi | 20th November 2017 | Full Episode No 883 | ETV Telugu,etvteluguindia,24,310978,756,224,100
elr-tOT87Hw,18.06.06,Trump Gets Snubbed by the Philadelphia Eagles | The Daily Show,The Daily Show with Trevor Noah,23,698931,14868,312,1362
FciPpWOp2iw,17.12.12,அடங்காத சிம்பு... பில்டப்? நியாயமா? An Ultimate FLASH BACK |T.Rajendar about Simbu Issues |TR Comedy,Nakkheeran TV,25,359397,2081,781,330
vKnC50i1qAI,18.04.01,ప్రదీప్ పై సుమ షాకింగ్ కామెంట్స్|Top Anchor Suma Sensational Comments On Anchor Pradeep|Filmy Poster,Filmy Poster,24,575085,2564,591,414
Kj5N-QDkQwY,18.20.02,ಗೊಂಬೆ ನೇಹಾ ಗೌಡ ಮದುವೆಗೆ ಯಾರೆಲ್ಲಾ ಬಂದಿದ್ದರು ಗೊತ್ತಾ | Gombe Neha Gowda Marriage,chandanavana,24,117540,238,80,24
YZHRR6mPor0,18.18.03,Ikyawann | Time Change,STAR Plus,24,140836,681,40,18
1kMaCrV6iQA,18.26.02,శోఖసంద్రంలో సినీ పరిశ్రమ అతిలోక సుందరి శ్రీదేవి ఇకలేరు | Actress Sridevi Is No more | CVR NEWS,CVR Telugu News,25,586116,1097,189,281
jcDWZ_e6Vlc,17.06.12,TSP's Naam Mein Kya Rakha Hai,The Screen Patti,24,307763,10543,2515,1145
t4KSD9XW8rk,18.13.01,అజ్ఞాతవాసి రివ్యూ ...Agnyaathavaasi (Agnathavasi) Review...Pawan Kalyan..Latest Telugu Cinema,Around Telugu,24,203752,944,602,218
8LFHKnlZ9kw,18.13.05,Kanda Kacheya Ne | DAANA PAANI | Jyotica Tangri Ft. Tarnvir Jagpal | Jimmy Sheirgill |Simi Chahal,Rhythm Boyz,10,530213,8204,223,251
xRnLTkO4kIk,18.03.06,"Baal Veer - बाल वीर - Episode 975 - 01st  June, 2018",Sony PAL,24,287761,622,208,58
Ah7ZCnIIJdI,17.07.12,BYN : The Secret Gift,Be YouNick,23,657296,55377,353,2884
rtwzZzPkyS4,18.03.06,Behti Hawa Sa Tha Woh | Sheorans | Funny Video,Sheorans,24,90688,3260,195,220
XsdbNvZnD70,18.22.03,"Ranga Ranga Rangasthalaana Video Song Promo - Rangasthalam - Ram Charan, Samantha",Lahari Music | T-Series,10,1672414,46447,1585,2005
NE46QdOjg9U,18.06.02,PM Modi Speech At BJP Parivarthan Rally At Palace Grounds In Bengaluru,Tv9 Kannada,25,244845,2279,922,184
C-mqabaIZns,18.04.02,गुरुवार स्पेशल : साई आरती : साई धुन : साई भजन : शिरडी साई बाबा के सुपरहिट भजन,भक्ति,10,111694,866,159,67
tSzUmEsEcVI,17.04.12,ఉపాసన చేసిన పనికి ఇవాంక మీటింగ్ లో లేచి ఏం చేసిందో తెలుసా || Ivanka at GES Summit 2017 #9Roses Media,9Roses Media,24,454996,970,338,80
PP2SSbSfsnc,18.01.03,"Sridevi's Funeral : Jhanvi, Khushi, Boney & family start her last journey",BollywoodCIA,24,1104648,1299,308,178
3g5FhSoAg_g,18.16.01,సంక్రాంతి రోజు కాకి వరం కథ వింటే మీ జీవితమే మారిపోతుంది | Sankranthi Story of crow | Mana Telugu,Mana Telugu,22,34807,326,20,0
9Vyol9k58cY,17.26.12,Sardi Ki Raat - Tony Kakkar | Tony Kakkar Sessions,Desi Music Factory,10,1243965,45585,742,1270
kJCUgcRPAhE,18.12.01,"Kundali Bhagya - कुंडली भाग्य - Episode 133  - January 11, 2018 - Preview",zeetv,24,389494,1720,110,104
i7EOO8-P52c,18.05.04,"New Haryanvi Song 2018 || Teri Yaad || A K Jatti || Vinay Talan, Anney B || Annu Kadyan",Sonotek,10,260217,2178,488,232
aFGzLzsdRzA,18.04.02,Uppum Mulakum│Flowers│EP# 532,Flowers Comedy,24,664733,5606,540,886
Q_aY0xgutaw,18.03.01,ਵੱਡੀ ਖ਼ਬਰ ! 2018 di pehli ਮਾੜੀ ਖ਼ਬਰ ! Punjabi Singer Galav Waraich nal vadda sadak hadsa,DESI TADKA,24,176988,1238,251,86
F4AEdWCB37o,17.28.11,The 3 Big Mistakes of PADMAWATI :  The Inside Story,Crazy 4 Bollywood,24,1782949,6579,1602,1372
3OrLH2A1_YE,18.05.05,Types of Card Players || Mahathalli,Mahathalli,24,406880,8979,670,1332
Ego0VrMUfhk,17.01.12,ஜாக்லின் நிஜ வாழ்க்கை சர்ச்சைகள்! | Tamil Cinema | Kollywood News | Cinema Seithigal,TamilCrowd,24,132986,140,97,12
bzEbvtvELcs,17.29.12,Swathi Chinukulu | 28th December 2017  | Full Episode No 1348| ETV Telugu,etvteluguindia,24,79858,249,63,47
mV6aztP58f8,18.14.06,Bhramanam I Episode 87 - 12 June 2018 I Mazhavil Manorama,Mazhavil Manorama,24,386319,1216,453,697
Hm32viIpFqk,18.19.02,SOUTH INDIAN ACTION,CarryMinati,23,2957468,383520,9323,34883
ctIaI1kHdgM,18.14.04,నన్ను అనుభవించండి నాకు ఆర్‌జెంట్ గా శృంగారం కావాలి అంటూ రోడ్డెక్కిన యువతి |Mana Telugu,Mana Telugu,22,187018,242,567,0
IqLqTLbXGBY,18.06.02,ബാംഗ്ലൂരിലെ  രണ്ടാം വിവാഹവിരുന്നിൽ അതിസുന്ദരിയായി ഭാവന || BHAVANA & NAVEEN,Serial Today Malayalam,1,385249,658,154,62
4xfWclNV1jw,18.06.02,"అక్క అని ఐ లవ్ యు అంటావ్ ఏంటి, రాఖీ కడతా నీకు || Kajal Speech at AWE pre release event",IndiaGlitz Telugu Movies | Reviews | Gossips l Hot News,24,419872,1636,237,123
twje7EQJy5A,18.21.01,"Phulpakhru - फुलपाखरु - Episode 217  - January 20, 2018 - Preview",Zee Yuva,24,58403,187,10,15
l1ERiRFyghk,18.30.04,Geeta Goswami - MASHUP 3 | New Dhamaka VIDEO Song | Rajasthani Super Hit Vivah Geet | RDC Rajasthani,RDC Rajasthani,10,523928,7675,826,842
KlwjChAiHm8,18.02.03,Holi Special | Popatlal Goes Bald This Holi | Taarak Mehta Ka Ooltah Chashmah,SAB TV,24,797850,5048,935,389
FyA06IGm5Ao,18.21.04,GUNMAN FT DJ FLOW | Official Video | Sartaj Virk | Prince Rakhdi | Teji Sandhu | Latest Song 2018,Speed Records,10,422386,13657,337,380
s1ksryg_p2M,17.17.12,Virat Kohli After His Marriage With Anushka Sharma | Shudh Desi Endings,Shudh Desi Endings,23,1015903,17959,1845,964
-9ChvLCJSeY,18.15.05,Munirathna In LIVE | Part 3 ಮುನಿರತ್ನ ವಿರುದ್ಧ ಜಾಮೀನು ರಹಿತ ಎಫ್ಐಆರ್ ಗೆ ಕೋರ್ಟ್ ಆದೇಶ,Suvarna News | ಸುವರ್ಣ ನ್ಯೂಸ್,25,215444,595,288,179
vIJwOe4D_xE,18.09.03,If Iconic Bollywood Characters Were Women feat. Huma Qureshi | Girliyapa,Girliyapa,22,726365,33216,2630,3273
ukt8JTTpj0g,18.17.03,Actress Sri Reddy : Our bad luck that four families control Tollywood industry - TV9,TV9 Trending,25,327537,972,288,420
RXVtM75fICE,18.14.06,City Crime | Crime Patrol | कांदिवली क्राइम | Mumbai,SET India,24,277211,869,225,56
hQyeNBDCrsA,18.18.03,Minister Nara Lokesh Counter To Pawan Kalyan Comments In AP Assembly | ABN Telugu,ABN Telugu,25,1096124,3984,12095,0
79nsFMS7kjQ,17.12.12,Eeda Official Trailer | Shane Nigam | Nimisha Sajayan | B Ajith Kumar | LJ Films,LJ Films Official,1,339405,6240,115,257
jmUooZZ96Mk,17.14.12,Emotional Virat Kohli CRIES In Front Of Anushka Sharma Night Before Wedding. Watch What Anushka Does,BiscootTV,24,4274144,29062,3388,1476
WO5s0HXcqr8,18.11.05,THE TIME MACHINE | Round2hell | R2h,Round2hell,23,2293252,194090,8506,36732
PUKVqTztMGA,17.28.12,🔴[Live] Kotha Guru (Bathinda) North India Federation Kabaddi Cup  26 Dec 2017,Kabaddi365.com,17,147466,1795,118,12
QW9THv7GJ-4,18.01.06,TEJAL THAKOR | Bewafa Tari Bewafai | બેવફા તારી બેવફાઈ | Bewafa Song 2018 | STUDIO SARASWATI,Studio Saraswati Official,10,447429,6737,548,514
D6zROcdkZw8,17.25.11,"2 Countries (2017) - Teaser | N. Shankar | Sunil, Manisha Raj | Teaser launched by Pawan Kalyan",Aditya Music,10,343628,7490,364,429
TacJGY6L7TE,18.26.04,TDP leader Anam Vivekananda Reddy Last Speech | Anam Vivekananda Reddy Speech Before Death,Bharat Today,24,258743,1298,213,87
TFw2PkqzxhQ,18.18.03,Mustachers Official Teaser | Kulbir Jhinjer | Latest Punjabi Songs 2018 | Vehli Janta Records,VehliJantaRecords,10,140658,4658,55,247
YDefO78Fv8U,18.18.03,"Kundali Bhagya - कुंडली भाग्य - Episode 178 - March 16, 2018 - Best Scene",zeetv,24,728250,2931,276,112
aQy6y5r_9MU,18.27.01,One night in Delhi - Republic Day Special | Lalit Shokeen Films |,LShokeen Films,24,623712,56559,665,3800
TMJG2T9woq0,18.07.04,WITHOUT YOU - JASS MANAK (Teaser) Satti Dhillon | Full Song Releasing On 13 April 6PM | GEET MP3,Geet MP3,10,477353,18410,502,1466
eVhXWPb89o0,18.17.04,Social activist Sandhya sensational Comments on hero Rajasekhar || Omfut,OmFut,24,415521,765,404,217
Lb9SCI0fSRw,18.12.03,Wahab Riaz Fight with Sarfraz Ahmed in PSL | Peshawar Zalmi Vs Quetta Gladiators | HBL PSL 2018,Talk Shows Central,25,974104,3981,1120,551
tvTRaEFqLgw,17.16.11,15 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,Study IQ education,27,56140,2925,50,579
nJBXFRvKP8Q,18.20.04,Jabardasth | 19th April 2018 | Full Episode | ETV Telugu,ETV Jabardasth,22,447583,2290,416,290
#NAME?,17.28.11,Jawaan Movie Theatrical Trailer | Sai Dharam Tej | Mehreen Pirzada | Thaman S | #JawaanTrailer,Arunachal Creations,24,1548926,24753,1801,1111
z-ZEHL4Df-A,18.06.03,Patola Video Song | Blackmail | Irrfan Khan & Kirti Kulhari | Guru Randhawa,T-Series,10,3780995,115257,4205,7899
NKArtE2pOV8,18.09.02,SBI Clerk Prelims 2018 | Profit & Loss | Basics | Maths Live At 10 am | Class-12,Mahendra Guru : Online Videos For Govt. Exams,27,38116,2844,30,313
2yN04AjT-cs,17.20.11,WHEN YOU HIT A WOMAN | Sham Idrees,Sham Idrees,24,287763,19336,351,2097
